,Engine_Version,Emi,Price,Fuel_Type,mnf_year,Company,Car_Name,km_drive,Owner
11,RXL Manual,"₹8,385/month","₹4,28,899",Petrol,2019,Renault,Kwid,"6,029 ",1st
12,ZXI SMART HYBRID AT Automatic,"₹19,598/month","₹10,43,599",Petrol,2019,Maruti,Ertiga,"46,059 ",1st
13,LXI CNG 1.0 L Manual,"₹12,334/month","₹6,30,899",OwnerPetrol + CNG,2021,Maruti,New  Wagon-R,"24,347 ",2nd
14,"₹28,000off","₹15,615/month","₹8,31,499",Diesel,2012,BMW,3 Series,"77,834 ",1st
15,VXI CNG Manual,"₹13,961/month","₹7,14,099",OwnerPetrol + CNG,2022,Maruti,Celerio,"1,793 ",1st
16,"₹26,000off","₹13,179/month","₹6,74,099",Petrol,2019,Maruti,Swift,"12,126 ",1st
17,MAGNA 1.2 KAPPA2 Manual,"₹5,912/month","₹3,02,399",Petrol,2014,Hyundai,i10,"62,954 ",2nd
18,SPORTZ 1.2 KAPPA VTVT Manual,"₹9,677/month","₹4,94,999",Petrol,2018,Hyundai,Grand i10,"16,908 ",1st
19,"₹5,000off","₹7,540/month","₹3,85,699",Petrol,2013,Volkswagen,Polo,"39,227 ",2nd
20,LXI OPT Manual,"₹8,279/month","₹4,23,499",Petrol,2015,Maruti,Swift,"38,602 ",1st
0,GLS Manual,"₹4,547/month","₹2,32,599",Petrol,2010,Hyundai,Santro Xing,"14,298 ",2nd
1,"₹33,800off","₹18,494/month","₹9,84,799",Petrol,2020,Maruti,Ertiga,"19,946 ",2nd
2,"₹2,08,300off","₹19,635/month","₹10,45,599",Petrol,2022,Nissan,MAGNITE,"1,794 ",1st
3,GTX PLUS 1.5D AT DUAL TONE ,"₹30,803/month","₹16,40,299",Diesel,2022,KIA,SONET,"3,704 ",1st
4,ZXI SMART HYBRID Manual,"₹22,077/month","₹11,75,599",Petrol,2020,Maruti,Ertiga,"17,115 ",1st
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,1.0 CLIMBER OPT Manual,"₹11,153/month","₹5,70,499",Petrol,2021,Renault,Kwid,"3,026 ",1st
7,SX (O) MT ,"₹15,697/month","₹8,35,899",Petrol,2022,Hyundai,AURA,"2,903 ",1st
8,GLS Manual,"₹5,220/month","₹2,66,999",Petrol,2010,Hyundai,Santro Xing,"43,166 ",1st
9,"₹5,000off","₹5,097/month","₹2,60,699",Petrol,2010,Maruti,A Star,"48,527 ",1st
10,VXI Manual,"₹7,916/month","₹4,04,899",Petrol,2011,Maruti,Ritz,"40,032 ",1st
11,"₹8,800off","₹5,967/month","₹3,05,199",Petrol,2012,Hyundai,i10,"35,547 ",2nd
12,GTX PLUS 1.5D  AT ,"₹25,962/month","₹13,82,499",Diesel,2020,KIA,SONET,"11,375 ",1st
13,"₹27,000off","₹17,583/month","₹9,36,299",Petrol,2021,Nissan,MAGNITE,"5,736 ",1st
14,1.5 TDCI TITANIUM PLUS Manual,"₹21,406/month","₹11,39,899",Diesel,2019,Ford,Ecosport,"12,519 ",1st
15,"₹27,600off","₹25,444/month","₹13,54,899",Diesel,2020,KIA,SONET,"11,539 ",1st
16,"₹5,000off","₹6,399/month","₹3,27,299",Petrol,2011,Hyundai,i10,"29,295 ",2nd
17,"₹40,100off","₹20,659/month","₹11,00,099",Petrol,2019,Maruti,Ertiga,"14,136 ",1st
18,"₹73,000off","₹32,585/month","₹17,35,199",Diesel,2021,Tata,Safari,"9,682 ",2nd
19,VXI Manual,"₹9,640/month","₹4,93,099",Petrol,2013,Maruti,Swift,"38,404 ",1st
20,"₹36,600off","₹17,068/month","₹9,08,899",Petrol,2021,Maruti,Swift,"15,637 ",2nd
0,MAGNA 1.2 KAPPA2 Manual,"₹5,421/month","₹2,77,299",Petrol,2012,Hyundai,i10,"39,135 ",1st
1,1.2 VX I-VTECH Manual,"₹10,338/month","₹5,28,799",Petrol,2015,Honda,Jazz,"28,170 ",1st
2,XT 1.2 REVOTRON Manual,"₹11,642/month","₹5,95,499",Petrol,2021,Tata,Tiago,"2,608 ",1st
3,SPORTZ 1.2 KAPPA VTVT Manual,"₹7,496/month","₹3,83,399",Petrol,2014,Hyundai,Grand i10,"11,855 ",3rd
4,MAGNA 1.2 VTVT Manual,"₹11,050/month","₹5,65,199",Petrol,2020,Hyundai,Grand i10,"13,265 ",2nd
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,"₹5,000off","₹3,904/month","₹1,99,699",Petrol,2009,Hyundai,i10,"44,327 ",1st
7,LXI Manual,"₹5,642/month","₹2,88,599",Petrol,2015,Maruti,Alto K10,"31,436 ",1st
8,"₹44,000off","₹28,281/month","₹15,05,999",Diesel,2013,Jaguar,XF,"28,909 ",2nd
9,ERA 1.1 IRDE Manual,"₹4,110/month","₹2,10,249",Petrol,2009,Hyundai,i10,"21,723 ",1st
10,"₹19,200off","₹11,275/month","₹5,76,699",Petrol,2017,Hyundai,Grand i10,"9,446 ",1st
11,1.2 V CVT I VTEC Automatic,"₹13,677/month","₹6,99,599",Petrol,2018,Honda,Amaze,"53,849 ",1st
12,HIGHLINE PLUS 1.0 Manual,"₹11,849/month","₹6,06,099",Petrol,2018,Volkswagen,Ameo,"19,500 ",1st
13,"₹8,700off","₹14,055/month","₹7,18,899",Petrol,2019,Tata,NEXON,"20,346 ",1st
14,"₹14,300off","₹7,670/month","₹3,92,299",Petrol,2015,Maruti,Wagon R 1.0,"14,865 ",1st
15,XZA 1.2 REVOTRON Automatic,"₹11,476/month","₹5,86,999",Petrol,2019,Tata,Tiago,"11,536 ",2nd
16,1.2 W6 MT ,"₹20,336/month","₹10,82,899",Petrol,2021,Mahindra,XUV 3OO,"5,184 ",1st
17,2.0 LIMITED Manual,"₹22,238/month","₹11,84,199",Diesel,2018,Jeep,Compass,"56,722 ",1st
18,VX MT PETROL Manual,"₹12,420/month","₹6,35,299",Petrol,2014,Honda,City,"82,972 ",1st
19,SPORTZ 1.2 KAPPA2 Manual,"₹4,434/month","₹2,26,799",Petrol,2011,Hyundai,i10,"56,227 ",2nd
20,LXI Manual,"₹10,606/month","₹5,42,499",Petrol,2019,Maruti,Swift,"12,046 ",2nd
0,"₹35,500off","₹25,934/month","₹13,80,999",Petrol,2016,Volvo,V40 Cross Country,"21,635 ",1st
1,VXI AMT Automatic,"₹11,458/month","₹5,86,099",Petrol,2018,Maruti,Swift,"60,151 ",1st
2,VXI Manual,"₹12,999/month","₹6,64,899",Petrol,2020,Maruti,Swift,"17,554 ",1st
3,VXI Manual,"₹7,716/month","₹3,94,699",Petrol,2017,Maruti,Celerio,"93,472 ",1st
4,"₹7,300off","₹22,208/month","₹11,82,599",Diesel,2018,Jeep,Compass,"41,392 ",1st
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,VXI Manual,"₹8,387/month","₹4,28,999",Petrol,2015,Maruti,Swift,"43,771 ",1st
7,VXI Manual,"₹11,867/month","₹6,06,999",Petrol,2019,Maruti,Swift,"72,729 ",1st
8,"₹28,500off","₹11,894/month","₹6,08,399",Petrol,2020,Volkswagen,Polo,"37,189 ",1st
9,"₹5,000off","₹7,689/month","₹3,93,299",Petrol,2015,Hyundai,i10,"17,028 ",2nd
10,"₹78,800off","₹33,397/month","₹17,78,399",Diesel,2021,Tata,Safari,"11,570 ",1st
11,"₹43,300off","₹28,144/month","₹14,98,699",Petrol,2022,Skoda,KUSHAQ,"4,340 ",1st
12,LX PETROL AT 4WD Automatic,"₹30,046/month","₹15,99,999",Petrol,2021,Mahindra,Thar,"1,254 ",1st
13,"₹34,300off","₹15,345/month","₹7,84,899",Petrol,2021,Renault,Kiger,"4,401 ",1st
14,ALPHA 1.2 K12 Manual,"₹9,429/month","₹4,82,299",Petrol,2016,Maruti,Baleno,"65,499 ",2nd
15,"₹58,400off","₹59,082/month","₹31,46,199",Diesel,2018,Jeep,GRAND CHEROKEE,"90,443 ",1st
16,"₹10,500off","₹17,547/month","₹9,34,399",Petrol,2021,Maruti,Baleno,"3,476 ",1st
17,"₹30,500off","₹10,250/month","₹5,24,299",Petrol,2020,Maruti,New  Wagon-R,"6,648 ",2nd
18,COMFORTLINE 1.0 PETROL Manual,"₹10,665/month","₹5,45,499",Petrol,2018,Volkswagen,Polo,"27,071 ",1st
19,GT TSI AT 1.0 Automatic,"₹16,428/month","₹8,74,799",Petrol,2020,Volkswagen,Polo,"8,615 ",2nd
20,"₹54,700off","₹31,951/month","₹17,01,399",Petrol,2022,MG,ASTOR,"15,724 ",1st
0,"₹35,500off","₹25,934/month","₹13,80,999",Petrol,2016,Volvo,V40 Cross Country,"21,635 ",1st
1,VXI Manual,"₹12,999/month","₹6,64,899",Petrol,2020,Maruti,Swift,"17,554 ",1st
2,VXI Manual,"₹7,716/month","₹3,94,699",Petrol,2017,Maruti,Celerio,"93,472 ",1st
3,VXI Manual,"₹11,867/month","₹6,06,999",Petrol,2019,Maruti,Swift,"72,729 ",1st
4,"₹28,500off","₹11,894/month","₹6,08,399",Petrol,2020,Volkswagen,Polo,"37,189 ",1st
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,"₹5,000off","₹7,689/month","₹3,93,299",Petrol,2015,Hyundai,i10,"17,028 ",2nd
7,"₹43,300off","₹28,144/month","₹14,98,699",Petrol,2022,Skoda,KUSHAQ,"4,340 ",1st
8,"₹34,300off","₹15,345/month","₹7,84,899",Petrol,2021,Renault,Kiger,"4,401 ",1st
9,"₹58,400off","₹59,082/month","₹31,46,199",Diesel,2018,Jeep,GRAND CHEROKEE,"90,443 ",1st
10,"₹30,500off","₹10,250/month","₹5,24,299",Petrol,2020,Maruti,New  Wagon-R,"6,648 ",2nd
11,COMFORTLINE 1.0 PETROL Manual,"₹10,665/month","₹5,45,499",Petrol,2018,Volkswagen,Polo,"27,071 ",1st
12,GT TSI AT 1.0 Automatic,"₹16,428/month","₹8,74,799",Petrol,2020,Volkswagen,Polo,"8,615 ",2nd
13,"₹54,700off","₹31,951/month","₹17,01,399",Petrol,2022,MG,ASTOR,"15,724 ",1st
14,"₹5,000off","₹10,150/month","₹5,19,199",Petrol,2015,Maruti,Swift Dzire,"94,168 ",1st
15,"₹30,100off","₹9,189/month","₹4,69,999",Petrol,2020,Maruti,New  Wagon-R,"47,101 ",1st
16,5 STR WITH AC PLUSHTR Manual,"₹10,389/month","₹5,31,399",Petrol,2021,Maruti,Eeco,"2,833 ",1st
17,"₹27,900off","₹9,431/month","₹4,82,399",Petrol,2021,Maruti,Celerio,"21,607 ",2nd
18,"₹19,600off","₹10,332/month","₹5,28,499",Petrol,2017,Volkswagen,Polo,"90,125 ",1st
19,"₹46,000off","₹8,328/month","₹4,25,999",Petrol,2021,Datsun,Redi Go,"2,631 ",1st
20,1.2 MAGNA PLUS VTVT Manual,"₹11,857/month","₹6,06,499",Petrol,2019,Hyundai,Elite i20,"97,453 ",1st
0,MAGNA 1.2 KAPPA2 Manual,"₹5,421/month","₹2,77,299",Petrol,2012,Hyundai,i10,"39,135 ",1st
1,1.2 VX I-VTECH Manual,"₹10,338/month","₹5,28,799",Petrol,2015,Honda,Jazz,"28,170 ",1st
2,XT 1.2 REVOTRON Manual,"₹11,642/month","₹5,95,499",Petrol,2021,Tata,Tiago,"2,608 ",1st
3,SPORTZ 1.2 KAPPA VTVT Manual,"₹7,496/month","₹3,83,399",Petrol,2014,Hyundai,Grand i10,"11,855 ",3rd
4,MAGNA 1.2 VTVT Manual,"₹11,050/month","₹5,65,199",Petrol,2020,Hyundai,Grand i10,"13,265 ",2nd
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,"₹5,000off","₹3,904/month","₹1,99,699",Petrol,2009,Hyundai,i10,"44,327 ",1st
7,LXI Manual,"₹5,642/month","₹2,88,599",Petrol,2015,Maruti,Alto K10,"31,436 ",1st
8,"₹44,000off","₹28,281/month","₹15,05,999",Diesel,2013,Jaguar,XF,"28,909 ",2nd
9,ERA 1.1 IRDE Manual,"₹4,110/month","₹2,10,249",Petrol,2009,Hyundai,i10,"21,723 ",1st
10,"₹19,200off","₹11,275/month","₹5,76,699",Petrol,2017,Hyundai,Grand i10,"9,446 ",1st
11,1.2 V CVT I VTEC Automatic,"₹13,677/month","₹6,99,599",Petrol,2018,Honda,Amaze,"53,849 ",1st
12,HIGHLINE PLUS 1.0 Manual,"₹11,849/month","₹6,06,099",Petrol,2018,Volkswagen,Ameo,"19,500 ",1st
13,"₹8,700off","₹14,055/month","₹7,18,899",Petrol,2019,Tata,NEXON,"20,346 ",1st
14,"₹14,300off","₹7,670/month","₹3,92,299",Petrol,2015,Maruti,Wagon R 1.0,"14,865 ",1st
15,XZA 1.2 REVOTRON Automatic,"₹11,476/month","₹5,86,999",Petrol,2019,Tata,Tiago,"11,536 ",2nd
16,1.2 W6 MT ,"₹20,336/month","₹10,82,899",Petrol,2021,Mahindra,XUV 3OO,"5,184 ",1st
17,2.0 LIMITED Manual,"₹22,238/month","₹11,84,199",Diesel,2018,Jeep,Compass,"56,722 ",1st
18,VX MT PETROL Manual,"₹12,420/month","₹6,35,299",Petrol,2014,Honda,City,"82,972 ",1st
19,SPORTZ 1.2 KAPPA2 Manual,"₹4,434/month","₹2,26,799",Petrol,2011,Hyundai,i10,"56,227 ",2nd
20,LXI Manual,"₹10,606/month","₹5,42,499",Petrol,2019,Maruti,Swift,"12,046 ",2nd
0,SPORTZ 1.2 KAPPA2 Manual,"₹6,371/month","₹3,25,899",Petrol,2012,Hyundai,i10,"31,946 ",1st
1,1.2 MAGNA PLUS VTVT Manual,"₹12,848/month","₹6,57,199",Petrol,2020,Hyundai,Elite i20,"7,583 ",2nd
2,"₹12,200off","₹11,638/month","₹5,95,299",Petrol,2019,Maruti,Swift,"57,877 ",1st
3,"₹37,500off","₹9,316/month","₹4,76,499",Petrol,2020,Maruti,S PRESSO,"1,709 ",2nd
4,LXI Manual,"₹10,991/month","₹5,62,199",Petrol,2018,Maruti,Swift,"16,072 ",1st
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,1.2 SPORTS PLUS VTVT Manual,"₹14,954/month","₹7,64,899",Petrol,2020,Hyundai,Elite i20,"43,637 ",1st
7,MAGNA 1.2 VTVT Manual,"₹8,045/month","₹4,11,499",Petrol,2016,Hyundai,Grand i10,"32,783 ",1st
8,SPORTZ 1.2 KAPPA VTVT Manual,"₹8,397/month","₹4,29,499",Petrol,2016,Hyundai,Grand i10,"47,393 ",1st
9,COMFORTLINE 1.0 PETROL Manual,"₹9,988/month","₹5,10,899",Petrol,2018,Volkswagen,Polo,"57,633 ",1st
10,"₹37,200off","₹8,242/month","₹4,21,599",Petrol,2021,Maruti,Alto,"1,902 ",1st
11,"₹11,300off","₹12,166/month","₹6,22,299",Petrol,2021,Renault,TRIBER,"21,150 ",1st
12,1.2 MAGNA PLUS VTVT Manual,"₹12,651/month","₹6,47,099",Petrol,2019,Hyundai,Elite i20,"20,049 ",1st
13,"₹25,900off","₹8,551/month","₹4,37,399",Petrol,2017,Hyundai,Grand i10,"41,301 ",1st
14,"₹9,100off","₹6,932/month","₹3,54,599",Petrol,2013,Hyundai,i20,"82,195 ",1st
15,"₹32,100off","₹13,224/month","₹6,76,399",Petrol,2018,Honda,City,"69,379 ",1st
16,"₹5,400off","₹8,004/month","₹4,09,399",Petrol,2017,Honda,Brio,"41,797 ",2nd
17,"₹10,600off","₹12,575/month","₹6,43,199",Petrol,2019,Hyundai,Elite i20,"23,749 ",1st
18,"₹24,000off","₹8,852/month","₹4,52,799",Petrol,2017,Hyundai,Grand i10,"41,418 ",1st
19,VXI Manual,"₹5,703/month","₹2,91,699",Petrol,2011,Maruti,Wagon R 1.0,"57,780 ",1st
20,LXI Manual,"₹7,005/month","₹3,58,299",Petrol,2014,Maruti,Wagon R 1.0,"25,616 ",1st
0,"₹9,200off","₹8,864/month","₹4,53,399",Petrol,2015,Volkswagen,Polo,"68,401 ",2nd
1,"₹20,000off","₹5,855/month","₹2,99,499",Petrol,2018,Maruti,Alto 800,"30,253 ",1st
2,"₹23,700off","₹11,894/month","₹6,08,399",Petrol,2019,Maruti,Swift,"47,289 ",1st
3,SPORTZ O 1.2 Manual,"₹11,067/month","₹5,66,099",Petrol,2018,Hyundai,Grand i10,"10,381 ",1st
4,1.0 RXT Opt Manual,"₹7,032/month","₹3,59,699",Petrol,2018,Renault,Kwid,"20,153 ",2nd
5,Answer a few questions to check EMI offer,n/a,n/a,,n/a,,,/,
6,VXI Manual,"₹8,532/month","₹4,36,399",Petrol,2018,Maruti,Celerio,"31,324 ",1st
7,ZXI Manual,"₹8,553/month","₹4,37,499",Petrol,2018,Maruti,Celerio,"71,195 ",2nd
8,RXT 1.0 EASY-R AT OPTION Automatic,"₹8,330/month","₹4,26,099",Petrol,2020,Renault,Kwid,"23,174 ",1st
9,1.0 RXT Opt Manual,"₹7,427/month","₹3,79,899",Petrol,2018,Renault,Kwid,"22,013 ",1st
10,ZXI Manual,"₹8,358/month","₹4,27,499",Petrol,2014,Maruti,Swift,"63,475 ",2nd
11,ZXI 1.2 Manual,"₹10,768/month","₹5,50,799",Petrol,2020,Maruti,New  Wagon-R,"10,341 ",1st
12,"₹25,200off","₹22,903/month","₹12,19,599",Diesel,2018,Jeep,Compass,"79,592 ",1st
13,RXT Opt Manual,"₹6,727/month","₹3,44,099",Petrol,2017,Renault,Kwid,"35,070 ",2nd
14,MAGNA 1.2 VTVT Manual,"₹10,170/month","₹5,20,199",Petrol,2017,Hyundai,Grand i10,"13,383 ",1st
15,"₹28,100off","₹22,298/month","₹11,87,399",Petrol,2022,Hyundai,NEW I20 N LINE,"2,913 ",1st
16,"₹11,800off","₹9,634/month","₹4,92,799",Petrol,2018,Maruti,Wagon R 1.0,"6,847 ",1st
17,"₹14,000off","₹31,569/month","₹16,81,099",Diesel,2020,KIA,SELTOS,"11,397 ",2nd
18,HTX+ MT 1.5 DIESEL Manual,"₹32,589/month","₹17,35,399",Diesel,2021,KIA,SELTOS,"6,026 ",1st
19,ERA PLUS Manual,"₹6,397/month","₹3,27,199",Petrol,2016,Hyundai,Eon,"37,163 ",1st
20,MAGNA 1.2 KAPPA VTVT Manual,"₹9,539/month","₹4,87,949",Petrol,2017,Hyundai,Grand i10,"17,644 ",1st
0,LXI Manual,"₹11,650/month","₹5,95,899",Petrol,2020,Maruti,Swift,"4,172 ",1st
1,ZXI+ Manual,"₹14,107/month","₹7,21,599",Petrol,2020,Maruti,Swift,"7,720 ",1st
2,VXI Manual,"₹11,828/month","₹6,04,999",Petrol,2019,Maruti,Swift,"34,269 ",2nd
3,MAGNA 1.2 KAPPA2 Manual,"₹4,403/month","₹2,25,199",Petrol,2011,Hyundai,i10,"96,280 ",2nd
